"property_number","borough_code","sign_name","category","site_amenities","sector_name","sector_desc","functional_acreage","total_acreage","avghours_2021q1","avghours_2021q2","avghours_2021q3","avghours_2021q4","avgcosts_2021q1","avgcosts_2021q2","avgcosts_2021q3","avgcosts_2021q4","avgdays_2021q1","avgdays_2021q2","avgdays_2021q3","avgdays_2021q4","fixedpost_2021q1","fixedpost_2021q2","fixedpost_2021q3","fixedpost_2021q4","q1work_order_cost","q2work_order_cost","q3work_order_cost","q4work_order_cost"
"B353","B","Bergen Beach Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 17.18","Districts 17, 18",0.93,0.93,5,9,6,8,73,133,98,122,3.1,4.6,3.7,4.1,"No","No","No","No",336,161,90,238
"B102","B","Crispus Attucks Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 2","District 2",0.93,0.93,33,37,15,52,401,469,188,639,6.3,4.5,2.5,5.8,"Yes","Yes","Yes","Yes",1123,1584,2635,4188
"RT04","R","Korean War Veterans Memorial Park","Small Park",NA,"Staten Island Sector 2.2B","Districts 2, 2B",0.93,0.93,1,2,2,3,20,24,27,41,2.5,2.6,2.4,2.9,"No","No","No","No",NA,NA,NA,NA
"B255K","B","Sitting Area","Small Park",NA,"Brooklyn Sector 6.7","Districts 6, 7",0.93,0.93,7,7,3,4,118,117,49,79,5,3.9,5,4.8,"No","No","No","No",265,65,153,121
"B315","B","Surf Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 13","District 13",0.93,0.93,16,6,4,2,214,94,56,29,4.2,2.9,1.8,1.6,"Yes","No","No","No",900,231,0,14
"B307","B","Tiger Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 3.4","Districts 3, 4",0.93,0.93,35,41,35,28,440,501,434,380,4.9,5.2,4.6,4.8,"Yes","Yes","Yes","Yes",946,303,1441,857
"R009","R","Amundsen Circle","Small Park",NA,"Staten Island Sector 3","District 3",0.92,0.92,4,6,6,6,67,90,86,92,5.7,5.9,5.7,5.7,"No","No","No","No",NA,NA,NA,NA
"B361","B","Boerum Park","Small Park","Athletic Facility,Playground","Brooklyn Sector 6.7","Districts 6, 7",0.92,0.92,8,8,9,11,132,133,141,182,5.9,5.9,5.8,6,"No","No","No","No",534,187,265,488
"B397","B","Carter G. Woodson Children's Park","Small Park","Athletic Facility,Playground","Brooklyn Sector 5.16","Districts 5, 16",0.92,0.92,15,44,43,27,216,646,537,373,3.8,5.2,5.8,4.7,"Yes","Yes","Yes","Yes",28,119,301,66
"Q385","Q","Ditmars Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 1.2","Districts 1, 2",0.92,0.92,27,32,35,37,329,539,575,461,4.6,5.9,6.2,6,"Yes","Yes","Yes","Yes",403,867,1596,715
"B321","B","Edmonds Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 2","District 2",0.92,0.92,37,33,17,47,438,404,217,576,6.7,4.2,2.9,5.5,"Yes","Yes","Yes","Yes",961,177,49,241
"B223E","B","Fruit Street Sitting Area","Small Park",NA,"Brooklyn Sector 2","District 2",0.92,0.92,7,7,6,24,85,82,76,336,6.1,5.3,3.8,5.4,"Yes","Yes","Yes","Yes",106,134,0,0
"B340","B","Garden Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 3.4","Districts 3, 4",0.92,0.92,9,10,7,11,141,156,116,161,2.9,3.4,3.2,4.1,"No","No","No","No",427,44,0,105
"B363","B","Houston Playground","Small Park","Playground","Brooklyn Sector 5.16","Districts 5, 16",0.92,0.92,8,7,6,11,126,109,106,175,2.4,2.2,2.2,3.6,"No","No","No","No",485,146,744,630
"B367","B","Livonia Park","Small Park",NA,"Brooklyn Sector 5.16","Districts 5, 16",0.92,0.92,5,6,6,7,85,96,108,108,2.3,2.4,2.1,3.3,"No","No","No","No",168,195,0,737
"B339","B","Newport Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 5.16","Districts 5, 16",0.92,0.92,9,16,36,23,140,222,450,322,3.3,4.5,5.7,5.4,"No","Yes","Yes","Yes",838,545,1331,349
"B292","B","Pratt Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 2","District 2",0.92,0.92,36,43,20,52,420,518,246,760,6.4,5.3,3.1,6.1,"Yes","Yes","Yes","Yes",477,111,1118,42
"X238","X","Saw Mill Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 1.2","Districts 1, 2",0.92,0.92,12,13,18,22,188,215,256,342,4.1,6.1,5.9,5.8,"No","No","No","Yes",1936,466,288,1040
"X148L1","X","Virginia Park","Small Park",NA,"Bronx Sector 9.10","Districts 9, 10",0.92,0.92,14,13,14,16,166,155,166,203,5,6.1,6.2,5.6,"Yes","Yes","Yes","Yes",0,4,44,1626
"R012","R","White Park","Small Park","Playground","Staten Island Sector 1","District 1",0.92,0.92,2,3,4,5,40,52,54,82,4,5.6,4.6,5.2,"No","No","No","No",389,103,0,84
"R027A","R","Aesop Park","Small Park","Playground","Staten Island Sector 3","District 3",0.91,0.91,4,3,3,5,61,52,49,77,6.4,6.2,5.8,6.5,"No","No","No","No",361,70,0,673
"Q399","Q","Bay Terrace Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 7","District 7",0.91,0.91,6,31,14,2,86,385,178,51,2.8,4.8,4.2,3.9,"No","Yes","No","No",837,384,490,52
"B098","B","Martin Luther Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 6.7","Districts 6, 7",0.91,0.91,16,12,10,13,280,198,169,248,6.4,5.9,6.4,6.5,"No","No","No","No",530,1578,355,226
"X207","X","Pontiac Playground","Small Park","Athletic Facilities,Playground","Bronx Sector 1.2","Districts 1, 2",0.91,0.91,7,9,8,9,107,139,119,141,3.2,5.7,4.5,4.5,"No","No","No","No",559,254,657,585
"X085","X","Slattery Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 4.5","Districts 4, 5",0.91,0.91,5,11,10,17,123,187,150,258,3.9,5.6,4.3,4.3,"No","No","No","No",1608,670,989,1608
"B348","B","Willoughby Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 3.4","Districts 3, 4",0.91,0.91,19,19,19,22,342,337,341,387,4.6,4.5,4.5,4.8,"Yes","Yes","Yes","Yes",666,472,1024,264
"B001","B","American Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 1","District 1",0.9,0.9,21,13,13,14,291,221,224,241,5.4,6.6,6.2,6.3,"No","No","No","No",812,438,883,627
"X243","X","Estella Diggs Park","Small Park",NA,"Bronx Sector 3.6","Districts 3, 6",0.9,0.9,22,9,12,21,330,159,184,299,6.3,6.2,5.3,6,"No","No","No","No",0,139,38,409
"Q506","Q","Gateway Park","Small Park",NA,"Queens Sector 10.12","Districts 10, 12",0.9,0.9,3,0,NA,3,47,8,NA,45,1.5,1,NA,1.5,"No","No",NA,"No",0,292,0,476
"Q067A","Q","General Hart Playground","Small Park","Athletic Facility,Comfort Station,Playground","Queens Sector 1.2","Districts 1, 2",0.9,0.9,2,7,25,28,39,97,362,504,4.3,5.8,6.5,5.6,"No","No","Yes","Yes",0,2232,1227,1980
"Q025","Q","Major Mark Park","Small Park",NA,"Queens Sector 10.12","Districts 10, 12",0.9,0.9,7,8,7,9,135,145,135,156,5.1,5,4.8,4.5,"No","No","No","No",123,729,0,62
"Q291","Q","Starr Playground","Small Park","Athletic Facilities,Playground","Queens Sector 5.6","Districts 5, 6",0.9,0.9,2,3,3,7,52,67,72,124,2.9,3.2,4,3.3,"No","No","No","No",56,168,28,103
"B220","B","Washington Hall Park","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 2","District 2",0.9,0.9,22,18,8,32,267,231,108,386,4.7,3.5,2.4,4.7,"Yes","Yes","No","Yes",194,218,1139,147
"R062","R","Arrochar Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Staten Island Sector 2.2B","Districts 2, 2B",0.89,0.89,20,34,14,9,364,550,184,126,5.6,5.7,4.6,6,"No","Yes","No","No",905,943,818,979
"B313","B","El Shabazz Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 3.4","Districts 3, 4",0.89,0.89,13,19,20,22,189,231,245,283,3.6,4.5,5.2,5.2,"Yes","Yes","Yes","Yes",290,79,238,193
"M235","M","Sol Lain Plgd","Small Park","Athletic Facilities,Comfort Station,Playground","Manhattan Sector 3","District 3",0.89,0.89,18,7,5,20,287,126,91,324,6.2,4.9,4.5,6.2,"Yes","No","No","Yes",143,129,10,877
"M208A","M","Alice Kornegay Triangle","Small Park","Comfort Station,Playground","Manhattan Sector 10.11","Districts 10, 11",0.88,0.88,32,14,9,48,436,192,135,736,5.5,4.6,4.3,5.9,"Yes","Yes","No","Yes",561,909,788,666
"M035","M","Colonel Charles Young Triangle","Small Park",NA,"Manhattan Sector 10.11","Districts 10, 11",0.88,0.88,6,4,4,7,95,69,65,105,3.8,3.5,4.1,4.5,"No","No","No","No",21,225,2869,14247
"Q408","Q","Harold Schneiderman Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 10.12","Districts 10, 12",0.88,0.88,33,16,24,30,420,215,308,385,5.6,5.7,5.8,6.2,"Yes","No","No","Yes",363,321,543,307
"Q212","Q","Queens Valley Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 8.9","Districts 8, 9",0.88,0.88,2,4,4,4,44,74,79,70,3.1,3.9,4.3,4.9,"No","No","No","No",411,91,143,204
"Q357B01","Q","Barrier Playground","Small Park","Athletic Facilities","Queens Sector 5.6","Districts 5, 6",0.87,0.87,15,20,13,13,224,301,206,220,4.4,5.7,4.5,4.5,"Yes","Yes","Yes","Yes",116,1055,0,96
"B332","B","Evergreen Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 3.4","Districts 3, 4",0.87,0.87,34,40,35,23,424,488,431,314,4.7,5.1,4.6,4,"Yes","Yes","Yes","Yes",293,0,559,125
"B107","B","Lion's Pride Playground","Small Park","Playground","Brooklyn Sector 5.16","Districts 5, 16",0.87,0.87,5,9,6,12,83,138,103,190,3.3,3.8,4.5,6,"No","No","No","No",0,170,371,97
"B099","B","Lt. Joseph Petrosino Park","Small Park","Athletic Facilities,Playground","Brooklyn Sector 11.15","Districts 11, 15",0.87,0.87,12,12,11,14,174,199,197,259,3.2,4.5,5.9,5.5,"No","No","No","No",143,419,452,409
"B306","B","Playground 286","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 11.15","Districts 11, 15",0.87,0.87,21,24,28,31,261,302,344,391,5.8,6.3,5.6,6.2,"Yes","Yes","Yes","Yes",1701,170,0,257
"R127","R","Joseph Manna Park","Small Park",NA,"Staten Island Sector 1","District 1",0.85,0.85,2,2,2,4,34,40,37,52,3.4,4,3.5,3.8,"No","No","No","No",NA,NA,NA,NA
"M241","M","Nathan Straus Playground","Small Park","Athletic Facilities,Playground","Manhattan Sector 3","District 3",0.85,0.85,5,6,4,9,91,118,64,146,4.9,3.5,3.7,5,"No","No","No","Yes",7263,150,60,160
"B261","B","Sankofa Park","Small Park","Athletic Facilities,Playground","Brooklyn Sector 5.16","Districts 5, 16",0.85,0.85,12,14,8,18,196,214,133,285,3.2,4.5,4.2,6,"No","No","No","No",1280,1123,653,3346
"X208","X","Haviland Playground","Small Park","Athletic Facilities","Bronx Sector 9.10","Districts 9, 10",0.84,0.84,7,7,8,9,105,104,125,131,4.7,5.8,5.8,5.5,"No","No","No","No",108,76,0,48
"Q357I","Q","Nassau Mall","Small Park",NA,"Queens Sector 11.13","Districts 11, 13",0.84,0.84,2,1,1,2,29,24,16,36,3.2,3.8,3.3,3.4,"No","No","No","No",65,0,0,207
"M244","M","Sol Bloom Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Manhattan Sector 7.9","Districts 7, 9",0.84,0.84,34,33,42,41,429,430,512,583,5.8,6.1,6.1,6.5,"Yes","Yes","Yes","Yes",265,1182,1648,570
"B316","B","DiGilio Playground","Small Park","Comfort Station,Playground","Brooklyn Sector 14.19","Districts 14, 19",0.83,0.83,28,9,40,71,376,157,506,928,5.8,5.8,5.9,6.3,"No","No","Yes","Yes",528,828,938,857
"M321","M","Lower East Side Playground","Small Park","Athletic Facilities,Playground","Manhattan Sector 3","District 3",0.83,0.83,4,3,3,5,66,56,45,90,5.2,5.8,5.5,6.5,"No","No","No","No",91,13,0,61
"Q357J","Q","Nassau Mall South","Small Park",NA,"Queens Sector 11.13","Districts 11, 13",0.83,0.83,2,1,1,2,34,21,17,39,3.5,3.9,3.4,3.6,"No","No","No","No",184,593,21,0
"M239","M","P.S. 155 Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Manhattan Sector 10.11","Districts 10, 11",0.83,0.83,39,22,23,50,488,296,351,706,4.8,4.1,3.9,5.5,"Yes","Yes","Yes","Yes",779,3531,851,327
"X211","X","Stebbins Playground","Small Park","Athletic Facilities","Bronx Sector 1.2","Districts 1, 2",0.83,0.83,3,4,4,9,43,69,60,148,2.8,5.1,3.7,4.7,"No","No","No","Yes",1133,139,286,43
"Q028A","Q","Tribute Park","Small Park",NA,"Queens Sector 14","District 14",0.83,0.83,1,2,3,3,18,32,39,50,4.3,4.5,4.6,4.5,"No","No","No","No",1021,52,0,4
"X146","X","Flynn Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 1.2","Districts 1, 2",0.82,0.82,9,15,14,17,143,218,188,251,3.9,5.9,4.6,5.1,"No","No","No","Yes",1822,436,1298,2279
"Q419","Q","Hart Playground","Small Park","Athletic Facilities,Playground","Queens Sector 7","District 7",0.82,0.82,4,3,2,5,71,43,43,83,3.1,2.9,2.6,3.4,"Yes","Yes","No","Yes",277,635,56,199
"X120","X","Highbridge Park","Small Park",NA,"Bronx Sector 4.5","Districts 4, 5",0.82,0.82,8,10,12,13,128,165,181,198,2,4.7,4.4,5.5,"No","No","No","No",1032,458,15694,542
"X162","X","Parkside Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 11.12.14","Districts 11, 12, 14",0.82,0.82,5,3,3,13,97,62,50,191,5.5,4.7,4.2,6.1,"No","No","No","No",732,439,77,10
"M041","M","Alexander Hamilton Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Manhattan Sector 7.9","Districts 7, 9",0.81,0.81,6,13,13,16,102,200,193,240,4.5,6.2,5.5,6,"No","No","No","No",70,791,57,5221
"Q322","Q","Bellaire Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 11.13","Districts 11, 13",0.81,0.81,68,19,4,5,829,253,62,79,6.7,4.2,3.8,3.9,"Yes","No","No","No",304,1679,607,26
"Q395","Q","Steinway Playground","Small Park","Athletic Facilities","Queens Sector 1.2","Districts 1, 2",0.81,0.81,6,11,21,18,88,188,362,315,4.6,5.5,5.7,5.8,"No","No","Yes","Yes",128,78,38,152
"B345","B","Ethan Allen Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 5.16","Districts 5, 16",0.8,0.8,21,8,10,17,300,133,152,250,5.9,2.6,4.7,5,"Yes","No","Yes","Yes",1149,211,8,486
"M243","M","Eugene McCabe Field","Small Park","Athletic Facilities","Manhattan Sector 10.11","Districts 10, 11",0.79,0.79,3,4,3,6,50,65,47,94,2.8,3.6,2.4,3.9,"No","No","No","No",263,470,421,353
"B304","B","Kennedy King Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 17.18","Districts 17, 18",0.79,0.79,46,41,26,61,572,520,331,889,5.4,6.2,5.6,6.5,"Yes","Yes","No","Yes",1159,596,548,680
"R107","R","New Dorp Park","Small Park",NA,"Staten Island Sector 2.2B","Districts 2, 2B",0.79,0.79,1,2,2,2,20,28,31,23,2.5,2.9,2.7,2.9,"No","No","No","No",0,177,0,212
"M236","M","Samuel Seabury Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Manhattan Sector 6.8.15","Districts 6, 8, 15",0.79,0.79,40,9,13,62,499,144,218,775,6.2,6.2,6.5,6.5,"Yes","No","No","Yes",1272,875,425,1412
"Q429","Q","Spirit Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 1.2","Districts 1, 2",0.79,0.79,6,7,7,18,101,120,116,268,5.2,5.8,5.6,6.2,"No","No","No","No",133,140,137,803
"M182","M","Vladeck Park","Small Park",NA,"Manhattan Sector 3","District 3",0.79,0.79,1,1,2,5,22,17,31,70,2.9,1.7,1.8,3.4,"No","No","No","No",NA,NA,NA,NA
"X206","X","Morgan Playground","Small Park","Athletic Facilities,Playground","Bronx Sector 3.6","Districts 3, 6",0.78,0.78,11,10,12,24,175,175,185,344,5.8,5.6,5,6.2,"No","No","No","No",1238,575,1018,467
"B167A","B","La Guardia Playground","Small Park","Athletic Facilities","Brooklyn Sector 1","District 1",0.77,0.77,4,3,7,12,71,48,92,186,1,3.3,3.8,4.3,"Yes","Yes","Yes","Yes",0,0,31,9
"R032","R","Maple Woods","Small Park",NA,"Staten Island Sector 1","District 1",0.77,0.77,1,2,1,2,24,27,22,28,2.3,3.2,2.4,2.4,"No","No","No","No",NA,NA,NA,NA
"M054","M","Mitchel Square","Small Park",NA,"Manhattan Sector 12.12A","Districts 12, 12A",0.77,0.77,7,8,9,11,101,116,124,151,5,5.2,5.6,5.4,"No","No","No","No",NA,NA,NA,NA
"M204","M","Moore Playground","Small Park","Athletic Facilities,Playground","Manhattan Sector 10.11","Districts 10, 11",0.77,0.77,19,15,15,39,316,244,252,617,4.6,4.2,3.4,6,"Yes","Yes","Yes","Yes",1407,193,44,1168
"Q338","Q","Admiral Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 11.13","Districts 11, 13",0.76,0.76,3,5,2,2,59,72,32,47,5.8,5.8,5.2,5.5,"No","No","No","No",350,567,1597,475
"M124","M","First Park","Small Park","Athletic Facilities,Playground","Manhattan Sector 3","District 3",0.76,0.76,6,9,13,16,116,154,181,259,5.4,5.9,4.5,6.2,"No","No","No","No",64,7232,1514,226
"X105","X","Jerome Slope","Small Park",NA,"Bronx Sector 4.5","Districts 4, 5",0.76,0.76,3,8,3,22,41,131,44,345,1.3,1.3,1.4,4.2,"No","No","No","Yes",639,624,1842,960
"Q037","Q","Neponsit Mall","Small Park",NA,"Queens Sector 14","District 14",0.76,0.76,1,2,2,3,20,28,29,40,4.1,4.3,4.1,4.4,"No","No","No","No",195,0,0,0
"X348","X","River Avenue Parks","Small Park","Playground","Bronx Sector 4.5","Districts 4, 5",0.756,0.67,9,17,9,27,142,227,134,440,4.3,5,4.5,5.2,"No","No","No","No",1297,1122,732,582
"B223R","B","Jaime Campiz Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 1","District 1",0.75,0.75,4,7,3,4,81,124,59,61,4.1,5.5,4.5,3.5,"Yes","Yes","Yes","No",3129,693,1213,391
"Q354","Q","Playground Seventy Five","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 8.9","Districts 8, 9",0.75,0.75,8,8,5,12,109,164,97,170,3.4,4.2,4.7,5.4,"No","No","No","No",190,361,24,735
"X042","X","Rose Hill Park","Small Park","Comfort Station","Bronx Sector 3.6","Districts 3, 6",0.75,0.75,21,18,14,13,367,275,237,257,5.9,5.5,5.5,5.5,"No","No","No","No",2713,2634,1164,3166
"M184","M","Samuel N. Bennerson 2nd Playground","Small Park","Playground","Manhattan Sector 7.9","Districts 7, 9",0.75,0.75,23,22,17,24,368,351,251,367,6.4,6.8,6.6,6.6,"No","No","No","No",517,111,98,450
"B257","B","Frost Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 1","District 1",0.74,0.74,9,9,9,13,129,145,159,218,5.2,5.7,4.8,4.9,"Yes","Yes","Yes","Yes",1086,539,167,107
"B255E","B","Park","Small Park",NA,"Brooklyn Sector 6.7","Districts 6, 7",0.74,0.74,10,8,13,13,136,119,185,205,4.8,4.2,5.8,5.7,"Yes","Yes","Yes","Yes",0,0,0,56
"R095","R","Park","Small Park",NA,"Staten Island Sector 3","District 3",0.74,0.74,0,0,0,0,2,1,2,3,1.4,1.1,1.1,1.4,"No","No","No","No",NA,NA,NA,NA
"B210J","B","Pena Herrera Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 6.7","Districts 6, 7",0.74,0.74,37,16,15,28,460,220,217,444,6.3,6.2,6.4,6.5,"Yes","Yes","No","Yes",5732,550,847,2157
"X059","X","Sergeant Johnson Triangle","Small Park",NA,"Bronx Sector 3.6","Districts 3, 6",0.74,0.74,2,10,6,5,48,149,102,102,2.9,4.5,4.5,4.6,"No","No","No","No",115,1411,306,709
"M219","M","Tecumseh Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Manhattan Sector 7.9","Districts 7, 9",0.74,0.74,40,44,45,52,576,637,674,850,6.1,6.3,6.8,6.7,"Yes","Yes","Yes","Yes",2417,18976,663,1468
"X082","X","University Malls","Small Park",NA,"Bronx Sector 4.5","Districts 4, 5",0.74,0.74,3,7,6,11,62,129,104,193,2.5,3.7,4,5.2,"No","No","No","No",0,0,0,333
"X174","X","Webster Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 3.6","Districts 3, 6",0.74,0.74,17,21,5,5,255,342,90,87,5.7,5.5,4.8,4.2,"Yes","Yes","No","No",952,3431,1195,3664
"Q205B","Q","Nathan Weidenbaum Playground","Small Park","Athletic Facility,Playground","Queens Sector 1.2","Districts 1, 2",0.73,0.73,13,12,13,26,157,152,158,360,5.1,6,6.2,5.6,"Yes","Yes","Yes","Yes",2362,52,0,0
"R083","R","North Shore Esplanade","Small Park",NA,"Staten Island Sector 1","District 1",0.73,0.73,1,2,1,2,21,35,21,38,2.2,3.2,2,2.5,"No","No","No","No",NA,NA,NA,NA
"X032","X","Railroad Park","Small Park","Playground","Bronx Sector 3.6","Districts 3, 6",0.73,0.73,11,8,9,20,168,148,127,283,6.3,6.1,4.8,5.9,"No","No","No","No",823,238,584,1081
"M046","M","Vietnam Veterans Plaza","Small Park",NA,"Manhattan Sector 1.2","Districts 1, 2",0.73,0.73,1,1,1,1,27,30,31,31,3.7,3.8,3.7,3.5,"No","No","No","No",35,0,32,0
"M238","M","Bloomingdale Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Manhattan Sector 7.9","Districts 7, 9",0.72,0.72,43,36,54,55,528,441,659,721,6.6,6.5,6.8,6.8,"Yes","Yes","Yes","Yes",307,387,653,245
"R165","R","Blueberry Park","Small Park",NA,"Staten Island Sector 3","District 3",0.72,0.72,0,0,0,0,1,1,1,1,1,1,1,1,"No","No","No","No",NA,NA,NA,NA
"X200","X","Clark Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 1.2","Districts 1, 2",0.72,0.72,18,15,17,25,314,238,238,373,4.3,5.6,5,6.2,"Yes","No","No","Yes",687,58,308,2001
"X161","X","Gun Hill Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 11.12.14","Districts 11, 12, 14",0.72,0.72,14,13,12,46,251,209,190,687,5.1,4.8,5.2,5.9,"No","No","No","Yes",2428,1380,855,623
"X113","X","Hunts Point Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 1.2","Districts 1, 2",0.72,0.72,10,16,12,16,167,257,183,270,4.2,6.1,5.2,5.7,"No","No","No","No",900,795,1110,347
"X265","X","Galileo Playground","Small Park","Playground","Bronx Sector 4.5","Districts 4, 5",0.71,0.71,5,7,4,14,95,136,80,235,3.8,4.9,4.3,5.2,"No","No","No","No",2940,501,945,1064
"X228","X","I-Am-Park","Small Park","Athletic Facilities","Bronx Sector 1.2","Districts 1, 2",0.71,0.71,10,30,21,21,157,508,333,358,4,5.5,4.6,4.6,"No","No","No","Yes",56,0,0,203
"B317","B","Lafayette Gardens Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 3.4","Districts 3, 4",0.71,0.71,17,31,32,26,223,443,455,375,3.9,5.1,4.8,5.2,"Yes","Yes","Yes","Yes",642,1452,439,643
"B149B","B","Linwood Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 5.16","Districts 5, 16",0.71,0.71,7,7,5,9,116,106,92,148,2.8,3.5,4.2,5.5,"No","No","No","No",282,378,33,153
"B255C","B","Purple Playground","Small Park","Playground","Brooklyn Sector 6.7","Districts 6, 7",0.71,0.71,12,13,14,13,155,177,202,209,5.5,5.4,6.2,6.1,"Yes","Yes","Yes","Yes",7,0,0,125
"X106","X","Evelina Antonetty Playground","Small Park","Athletic Facilities,Playground","Bronx Sector 1.2","Districts 1, 2",0.7,0.7,5,10,7,7,79,147,106,119,2.9,5.7,4.2,4.1,"No","No","No","No",0,464,0,0
"X257","X","Mount Hope Playground","Small Park","Athletic Facilities,Playground","Bronx Sector 4.5","Districts 4, 5",0.7,0.7,4,6,6,15,76,125,102,259,2.8,4.8,4.3,5.1,"No","No","No","No",729,321,445,745
"Q041","Q","Newtown Playground","Small Park","Playground","Queens Sector 3.4","Districts 3, 4",0.7,0.7,9,7,7,7,132,111,111,128,5.9,6.2,6,6.3,"No","No","No","No",438,179,289,124
"B300","B","Oracle Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 2","District 2",0.7,0.7,19,25,16,50,246,314,201,755,5.5,4.3,3.8,6.2,"Yes","Yes","No","Yes",189,253,264,501
"Q416","Q","Park","Small Park",NA,"Queens Sector 14","District 14",0.7,0.7,1,2,2,4,21,25,23,51,3.9,3.9,3.3,4.8,"No","No","No","No",NA,NA,NA,NA
"QT04","Q","Queens Gate","Small Park",NA,"Queens Sector 8.9","Districts 8, 9",0.7,0.7,4,3,3,2,88,55,47,54,5.4,5.2,4.8,1,"No","No","No","No",NA,NA,NA,NA
"Q397","Q","Auburndale Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 7","District 7",0.69,0.69,5,3,3,3,93,57,60,54,3.6,2.7,3.6,3.8,"No","No","No","No",6967,578,70,116
"M160","M","Fred Samuel Playground","Small Park","Athletic Facility,Comfort Station,Playground","Manhattan Sector 10.11","Districts 10, 11",0.69,0.69,25,18,6,21,325,229,86,304,5.9,4.5,2.8,4.5,"Yes","Yes","No","Yes",5745,1207,655,656
"M063","M","Gertrude Ederle Recreation Center","Small Park","Comfort Station","Manhattan Sector 7.9","Districts 7, 9",0.69,0.69,6,6,10,10,94,90,146,155,6.1,6.5,6.5,6.5,"No","No","No","No",11090,525,515,2652
"B246","B","Jerome Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 5.16","Districts 5, 16",0.69,0.69,8,6,6,11,135,103,91,183,3.6,3.3,4.5,4.9,"No","No","No","No",1354,172,0,269
"B288","B","Slope Park Playground","Small Park","Comfort Station,Playground","Brooklyn Sector 6.7","Districts 6, 7",0.69,0.69,21,20,20,26,274,277,296,444,6.3,6.2,6.6,6.5,"Yes","Yes","Yes","Yes",1547,1447,716,1242
"B283","B","Belmont Playground","Small Park","Athletic Facility,Playground","Brooklyn Sector 5.16","Districts 5, 16",0.68,0.68,12,13,10,9,193,199,170,136,3.5,4.8,4.7,4.9,"Yes","Yes","Yes","Yes",452,595,723,451
"X164","X","Dawson Playground","Small Park","Athletic Facilities,Playground","Bronx Sector 1.2","Districts 1, 2",0.68,0.68,40,43,30,21,657,693,482,385,6.5,7,7,6.5,"No","No","No","No",1044,1296,929,1132
"M064","M","Lillian D Wald Playground","Small Park","Athletic Facilities","Manhattan Sector 3","District 3",0.68,0.68,13,4,5,9,218,81,92,150,6.1,5.4,5,5.8,"Yes","No","No","No",20,344,28,119
