"property_number","borough_code","sign_name","category","site_amenities","sector_name","sector_desc","functional_acreage","total_acreage","avghours_2021q1","avghours_2021q2","avghours_2021q3","avghours_2021q4","avgcosts_2021q1","avgcosts_2021q2","avgcosts_2021q3","avgcosts_2021q4","avgdays_2021q1","avgdays_2021q2","avgdays_2021q3","avgdays_2021q4","fixedpost_2021q1","fixedpost_2021q2","fixedpost_2021q3","fixedpost_2021q4","q1work_order_cost","q2work_order_cost","q3work_order_cost","q4work_order_cost"
"Q360C","Q","Park","Other",NA,"Queens Sector 1.2","Districts 1, 2",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q360D","Q","Park","Other",NA,"Queens Sector 1.2","Districts 1, 2",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q433A","Q","Park","Other",NA,"Queens Sector 10.12","Districts 10, 12",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q433B","Q","Park","Other",NA,"Queens Sector 10.12","Districts 10, 12",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q417","Q","Park","Other",NA,"Queens Sector 10.12","Districts 10, 12",0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q409","Q","Park","Small Park",NA,"Queens Sector 5.6","Districts 5, 6",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QT13","Q","Park","Property",NA,"Queens Sector 11.13","Districts 11, 13",0,0.17,1,0,NA,0,12,2,NA,8,1,1,NA,1,"No","No",NA,"No",NA,NA,NA,NA
"Q508","Q","Park",NA,NA,"Queens Sector 14","District 14",0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q509","Q","Park",NA,NA,"Queens Sector 14","District 14",0,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q504","Q","Park","Small Park",NA,"Queens Sector 3.4","Districts 3, 4",0,0.03,1,5,1,1,12,83,14,17,1.5,2,1,2,"No","Yes","No","No",NA,NA,NA,NA
"Q500","Q","Park",NA,NA,"Queens Sector 5.6","Districts 5, 6",0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R168","R","Park",NA,NA,"Staten Island Sector 3","District 3",0,0.05,0,0,0,0,2,1,1,2,1.1,1,1,1.1,"No","No","No","No",NA,NA,NA,NA
"R044","R","Park",NA,NA,"Staten Island Sector 1","District 1",0,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R038B","R","Park","Small Park","Natural Areas","Staten Island Sector 2.2B","Districts 2, 2B",0,5.77,10,10,16,21,156,175,271,348,5.1,5.2,5.2,4.9,"Yes","Yes","Yes","Yes",NA,NA,NA,NA
"R094","R","Park","Small Park",NA,"Staten Island Sector 3","District 3",0,1.18,0,0,0,0,3,4,3,3,1.1,1.1,1.1,1,"No","No","No","No",NA,NA,NA,NA
"R075E","R","Park","Small Park",NA,"Staten Island Sector 1","District 1",0,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R075F","R","Park","Other",NA,"Staten Island Sector 2.2B","Districts 2, 2B",0,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R096","R","Park","Small Park",NA,"Staten Island Sector 3","District 3",0,0.18,0,0,0,0,1,1,1,1,1,1,1,1.1,"No","No","No","No",NA,NA,NA,NA
"R098","R","Park","Small Park",NA,"Staten Island Sector 3","District 3",0,5.85,0,0,0,0,2,1,1,3,1.3,1,1,1.5,"No","No","No","No",NA,NA,NA,NA
"R102","R","Park","Small Park",NA,"Staten Island Sector 3","District 3",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R103","R","Park","Small Park",NA,"Staten Island Sector 3","District 3",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X148A4","X","Park","Other",NA,"Bronx Sector 4.5","Districts 4, 5",0,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X148B","X","Park","Other",NA,"Bronx Sector 4.5","Districts 4, 5",0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X148B1","X","Park","Other",NA,"Bronx Sector 4.5","Districts 4, 5",0,0.15,0,NA,NA,1,7,NA,NA,15,1.3,NA,NA,1.5,"No",NA,NA,"No",NA,NA,NA,NA
"X148A","X","Park","Other",NA,"Bronx Sector 4.5","Districts 4, 5",0,0.29,NA,NA,NA,2,NA,NA,NA,37,NA,NA,NA,1,NA,NA,NA,"No",NA,NA,NA,NA
