"NAME","GEO_ID","S0101_C01_001E","S1901_C01_001E","S1901_C01_002E","S1901_C01_003E","S1901_C01_004E","S1901_C01_005E","S1901_C01_006E","S1901_C01_007E","S1901_C01_008E","S1901_C01_009E","S1901_C01_010E","S1901_C01_011E","S1901_C01_012E","S1901_C01_013E","ZCTA5","DP02_0087E","DP02_0093E","DP05_0070E","DP05_0077E","DP05_0077PE"
"ZCTA5 27539","8600000US27539",23970,8150,3.7,1.2,4.1,3.6,5.8,11.7,14,24.5,16.9,14.4,109664,125283,"27539",23970,2609,23970,17081,71.3
"ZCTA5 27556","8600000US27556",238,114,0.9,2.6,29.8,13.2,5.3,4.4,1.8,3.5,38.6,0,NA,78507,"27556",238,2,238,75,31.5
"ZCTA5 27574","8600000US27574",14036,5777,5.6,6.7,11.3,11.1,13.2,18,18.2,12.9,2.4,0.7,51771,65234,"27574",14036,210,14036,10557,75.2
"ZCTA5 27617","8600000US27617",20281,9312,2,1.9,3.2,4,9.6,21.5,14.9,19.4,12.6,10.8,86404,131910,"27617",20281,3007,20281,12656,62.4
"ZCTA5 27709","8600000US27709",1152,422,0,0,0,11.1,17.3,4,3.1,9.5,19.7,35.3,162019,223485,"27709",1152,468,1152,506,43.9
"ZCTA5 27825","8600000US27825",46,28,10.7,21.4,10.7,0,32.1,17.9,0,0,7.1,0,38750,41711,"27825",46,0,46,39,84.8
"ZCTA5 27861","8600000US27861",44,17,0,23.5,0,52.9,0,17.6,0,5.9,0,0,27917,35812,"27861",44,0,44,0,0
"ZCTA5 27879","8600000US27879",316,128,1.6,7,18,7,9.4,30.5,7.8,9.4,6.3,3.1,55435,64829,"27879",316,5,316,121,38.3
"ZCTA5 27881","8600000US27881",146,34,11.8,0,11.8,17.6,2.9,44.1,5.9,5.9,0,0,50385,44615,"27881",146,0,146,111,76
"ZCTA5 27978","8600000US27978",184,81,0,0,53.1,4.9,9.9,9.9,22.2,0,0,0,22240,41889,"27978",184,3,184,176,95.7
"ZCTA5 27577","8600000US27577",26875,9595,10,5.6,11.5,11.9,13,20.2,10.7,12.7,2.3,2.1,48084,59272,"27577",26875,2576,26875,15373,57.2
"ZCTA5 27016","8600000US27016",1339,559,2.7,14.3,1.8,16.6,18.2,23.4,17.5,5.2,0,0.2,46250,51015,"27016",1339,2,1339,1243,92.8
"ZCTA5 27326","8600000US27326",2900,1349,10,4.7,7.9,18.6,11.5,24.9,12.1,7.2,2.8,0.3,44909,52314,"27326",2900,30,2900,2219,76.5
"ZCTA5 27356","8600000US27356",2759,1043,2.2,8,6,18.6,12.6,16.7,27.7,6.6,0.9,0.8,52891,64073,"27356",2759,65,2759,2388,86.6
"ZCTA5 27408","8600000US27408",18323,8114,3.8,2.9,8.5,9,13.3,15,12.2,13,8.1,14.2,68542,118276,"27408",18323,886,18323,15370,83.9
"ZCTA5 27504","8600000US27504",15593,5432,5.3,3.5,10.4,14.5,15.6,22.4,12.2,11.7,2.7,1.6,50911,61055,"27504",15593,1487,15593,10798,69.2
"ZCTA5 27513","8600000US27513",45542,18111,2.4,2.1,3.8,4.8,7.9,17.8,13,22.2,10.7,15.3,96913,122853,"27513",45542,9284,45542,30631,67.3
"ZCTA5 27520","8600000US27520",42387,15037,3.7,2.2,8.4,6.7,12.7,19.5,16.8,19.3,6.7,4,71008,80110,"27520",42387,2750,42387,28434,67.1
"ZCTA5 27525","8600000US27525",14819,5870,9,7.6,9.3,11.9,12.8,16.9,12.8,13.7,3.4,2.6,49406,62285,"27525",14819,901,14819,8343,56.3
"ZCTA5 27530","8600000US27530",38940,15722,12.5,6.8,12.6,13.3,13.6,15.8,10.7,9.8,2.3,2.6,39672,58499,"27530",38940,1944,38940,19789,50.8
"ZCTA5 27534","8600000US27534",32492,13287,5.1,5.5,11.2,12.8,16.9,20.1,11.7,12.4,2.4,1.9,48113,62359,"27534",32492,2255,32492,17303,53.3
"ZCTA5 27536","8600000US27536",16522,6308,14.6,11.9,16.3,13.1,13.3,16.3,6.1,5.3,1.9,1.2,30960,49867,"27536",16522,836,16522,3976,24.1
"ZCTA5 27540","8600000US27540",39675,12846,1.6,1.8,2.5,4.3,8.3,13.5,12,25.4,14.2,16.3,109404,126409,"27540",39675,2499,39675,29269,73.8
"ZCTA5 27560","8600000US27560",35800,13779,2.6,1.3,3.2,4.1,7.6,14.8,18,22.8,13.1,12.6,96830,118069,"27560",35800,11672,35800,13118,36.6
